2025-04-26 22:31:38,236 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:31:38,238 | VWAPMaster | ERROR | MT5 connection failed: (-2, 'Invalid "login" argument')
2025-04-26 22:31:38,499 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/sendMessage "HTTP/1.1 200 OK"
2025-04-26 22:31:48,385 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:31:58,586 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:32:08,775 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:32:18,931 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:32:29,845 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:32:40,065 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:32:50,242 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:33:00,452 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:33:10,633 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:33:20,816 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:33:31,018 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:33:41,192 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:33:51,369 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:34:01,541 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:34:11,780 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:34:21,979 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:34:27,018 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:34:27,018 | telegram.ext.Application | INFO | Application is stopping. This might take a moment.
2025-04-26 22:34:27,018 | telegram.ext.Application | INFO | Application.stop() complete
2025-04-26 22:34:35,845 | VWAPMaster | INFO | Bot is now running...
2025-04-26 22:34:36,513 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getMe "HTTP/1.1 200 OK"
2025-04-26 22:34:37,143 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/deleteWebhook "HTTP/1.1 200 OK"
2025-04-26 22:34:37,143 | telegram.ext.Application | INFO | Application started
2025-04-26 22:34:47,658 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:34:49,307 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:34:49,316 | VWAPMaster | INFO | MT5 connected successfully
2025-04-26 22:34:49,321 | VWAPMaster | ERROR | Telegram error: 'NoneType' object has no attribute 'run_repeating'
Traceback (most recent call last):
  File "C:\Users\HP\Desktop\datatalks\A-Multi-Timeframe-VWAP-AVWAP-Trading-Bot-with-Telegram-Alerts\vwap_bot_env\Lib\site-packages\telegram\ext\_application.py", line 1264, in process_update
    await coroutine
  File "C:\Users\HP\Desktop\datatalks\A-Multi-Timeframe-VWAP-AVWAP-Trading-Bot-with-Telegram-Alerts\vwap_bot_env\Lib\site-packages\telegram\ext\_handlers\basehandler.py", line 157, in handle_update
    return await self.callback(update, context)
           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\HP\Desktop\datatalks\A-Multi-Timeframe-VWAP-AVWAP-Trading-Bot-with-Telegram-Alerts\bot.py", line 335, in start
    context.job_queue.run_repeating(
    ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
AttributeError: 'NoneType' object has no attribute 'run_repeating'
2025-04-26 22:34:59,539 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:35:09,704 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:35:19,977 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:35:30,217 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:35:40,379 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:35:50,532 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:36:00,683 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:36:10,856 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:36:21,056 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:36:31,201 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:36:41,377 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:36:51,531 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:37:01,741 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:38:33,427 | VWAPMaster | INFO | Bot is now running...
2025-04-26 22:38:33,980 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getMe "HTTP/1.1 200 OK"
2025-04-26 22:38:34,170 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/deleteWebhook "HTTP/1.1 200 OK"
2025-04-26 22:38:34,183 | apscheduler.scheduler | INFO | Scheduler started
2025-04-26 22:38:34,183 | telegram.ext.Application | INFO | Application started
2025-04-26 22:38:43,901 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/getUpdates "HTTP/1.1 200 OK"
2025-04-26 22:38:43,901 | VWAPMaster | INFO | MT5 connected successfully
2025-04-26 22:38:43,929 | apscheduler.scheduler | INFO | Added job "analysis_M5" to job store "default"
2025-04-26 22:38:43,930 | apscheduler.scheduler | INFO | Added job "analysis_M30" to job store "default"
2025-04-26 22:38:43,931 | apscheduler.scheduler | INFO | Added job "analysis_H1" to job store "default"
2025-04-26 22:38:43,931 | apscheduler.scheduler | INFO | Added job "analysis_H4" to job store "default"
2025-04-26 22:38:44,482 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8172313423:AAGGJhyIieE79WAXTc0eGZ9InLDAmjBPBr0/sendMessage "HTTP/1.1 200 OK"
2025-04-26 22:38:53,931 | apscheduler.executors.default | INFO | Running job "analysis_M5 (trigger: interval[0:05:00], next run at: 2025-04-26 21:43:53 UTC)" (scheduled at 2025-04-26 21:38:53.919304+00:00)
2025-04-26 22:38:53,931 | apscheduler.executors.default | INFO | Running job "analysis_M30 (trigger: interval[0:30:00], next run at: 2025-04-26 22:08:53 UTC)" (scheduled at 2025-04-26 21:38:53.929186+00:00)
2025-04-26 22:38:53,931 | apscheduler.executors.default | INFO | Running job "analysis_H1 (trigger: interval[1:00:00], next run at: 2025-04-26 22:38:53 UTC)" (scheduled at 2025-04-26 21:38:53.930317+00:00)
2025-04-26 22:38:53,931 | apscheduler.executors.default | INFO | Running job "analysis_H4 (trigger: interval[4:00:00], next run at: 2025-04-27 01:38:53 UTC)" (scheduled at 2025-04-26 21:38:53.931308+00:00)
